Date,Time,CPU (%),RAM (%)
2025-04-28,20:48:43,0.2,8.3
2025-04-28,20:48:53,0.2,8.3
2025-04-28,20:49:03,0.0,8.3
2025-04-28,20:49:13,0.2,8.3
2025-04-28,20:49:23,0.1,8.3
2025-04-28,20:49:33,0.1,8.3
2025-04-28,20:49:43,0.1,8.3
2025-04-28,20:49:53,0.1,8.3
2025-04-28,20:50:03,0.2,8.3
2025-04-28,20:50:13,0.1,8.3
2025-04-28,20:50:23,0.0,8.3
2025-04-28,20:50:33,0.1,8.3
2025-04-28,20:50:43,0.1,8.3
2025-04-28,20:50:53,0.2,8.3
2025-04-28,20:51:03,0.2,8.3
2025-04-28,20:51:13,0.1,8.3
2025-04-28,20:51:23,0.1,8.3
2025-04-28,20:51:33,0.1,8.3
2025-04-28,20:51:43,0.2,8.3
2025-04-28,20:51:53,0.2,8.3
2025-04-28,20:52:03,0.0,8.3
2025-04-28,20:52:13,0.2,8.3
2025-04-28,20:52:23,0.0,8.3
2025-04-28,20:52:33,0.2,8.3
2025-04-28,20:52:43,0.2,8.3
2025-04-28,20:52:53,0.1,8.3
2025-04-28,20:53:03,0.2,8.3
2025-04-28,20:53:13,0.1,8.3
2025-04-28,20:53:23,0.1,8.3
2025-04-28,20:53:33,0.1,8.3
2025-04-28,20:53:43,0.0,8.3
2025-04-28,20:53:53,0.2,8.3
2025-04-28,20:54:03,0.1,8.3
2025-04-28,20:54:13,0.1,8.3
2025-04-28,20:54:23,0.1,8.3
2025-04-28,20:54:33,0.1,8.3
2025-04-28,20:54:43,0.1,8.3
2025-04-28,20:54:53,0.2,8.3
2025-04-28,20:55:03,0.0,8.3
2025-04-28,20:55:13,0.1,8.3
2025-04-28,20:55:23,0.0,8.3
2025-04-28,20:55:33,0.2,8.3
2025-04-28,20:55:43,0.1,8.3
2025-04-28,20:55:53,0.1,8.3
2025-04-28,20:56:03,0.1,8.3
2025-04-28,20:56:13,0.0,8.3
2025-04-28,20:56:23,0.1,8.3
2025-04-28,20:56:33,0.2,8.3
2025-04-28,20:56:43,0.0,8.3
2025-04-28,20:56:53,0.2,8.3
2025-04-28,20:57:03,0.2,8.3
2025-04-28,20:57:13,0.0,8.3
2025-04-28,20:57:23,0.2,8.3
2025-04-28,20:57:33,0.0,8.3
2025-04-28,20:57:43,0.1,8.3
2025-04-28,20:57:53,0.2,8.3
2025-04-28,20:58:03,0.1,8.3
2025-04-28,20:58:13,0.1,8.3
2025-04-28,20:58:23,0.0,8.3
2025-04-28,20:58:33,0.1,8.3
2025-04-28,20:58:43,0.2,8.3
2025-04-28,20:58:53,0.1,8.3
2025-04-28,20:59:03,0.2,8.3
2025-04-28,20:59:13,0.0,8.3
2025-04-28,20:59:23,0.1,8.3
2025-04-28,20:59:33,0.1,8.3
2025-04-28,20:59:43,0.1,8.3
2025-04-28,20:59:53,0.1,8.3
2025-04-28,21:00:03,0.1,8.3
2025-04-28,21:00:13,0.1,8.3
2025-04-28,21:00:23,0.1,8.3
2025-04-28,21:00:33,0.0,8.3
2025-04-28,21:00:43,0.2,8.3
2025-04-28,21:00:53,0.2,8.3
2025-04-28,21:01:03,0.1,8.3
2025-04-28,21:01:13,0.1,8.3
2025-04-28,21:01:23,0.0,8.3
2025-04-28,21:01:33,0.2,8.3
2025-04-28,21:01:43,0.1,8.3
2025-04-28,21:01:53,0.1,8.3
2025-04-28,21:02:03,0.1,8.3
2025-04-28,21:02:13,0.0,8.3
2025-04-28,21:02:23,0.1,8.3
2025-04-28,21:02:33,0.2,8.3
2025-04-28,21:02:43,0.0,8.3
2025-04-28,21:02:53,0.1,8.3
2025-04-28,21:03:03,0.1,8.3
2025-04-28,21:03:13,0.1,8.3
2025-04-28,21:03:23,0.1,8.3
2025-04-28,21:03:33,0.1,8.3
2025-04-28,21:03:43,0.1,8.3
2025-04-28,21:03:53,0.2,8.3
2025-04-28,21:04:03,0.0,8.3
2025-04-28,21:04:13,0.2,8.3
2025-04-28,21:04:23,0.0,8.3
2025-04-28,21:04:33,0.1,8.3
2025-04-28,21:04:43,0.1,8.3
2025-04-28,21:04:53,0.1,8.3
2025-04-28,21:05:03,0.1,8.3
2025-04-28,21:05:13,0.0,8.3
2025-04-28,21:05:23,0.1,8.3
2025-04-28,21:05:33,0.1,8.3
2025-04-28,21:05:43,0.0,8.3
2025-04-28,21:05:53,0.2,8.4
2025-04-28,21:06:03,0.0,8.3
2025-04-28,21:06:13,0.1,8.3
2025-04-28,21:06:23,0.2,8.3
2025-04-28,21:06:33,0.0,8.3
2025-04-28,21:06:43,0.1,8.3
2025-04-28,21:06:53,0.1,8.3
2025-04-28,21:07:03,0.1,8.3
2025-04-28,21:07:13,0.2,8.3
2025-04-28,21:07:23,0.0,8.3
2025-04-28,21:07:33,0.2,8.3
2025-04-28,21:07:43,0.2,8.3
2025-04-28,21:07:53,0.1,8.3
2025-04-28,21:08:03,0.2,8.4
2025-04-28,21:08:13,0.0,8.3
2025-04-28,21:08:23,0.1,8.3
2025-04-28,21:08:33,0.2,8.3
